,mean_fit_time,algorithm,leaf_size,neighbors,param_p,weights,mean_test_nmse,rank_test_nmse,mean_test_r2,rank_test_r2
0,0.001665353775024414,brute,10,1,1,uniform,-6896.122796259185,235,-0.16437342156457235,235
1,0.002251863479614258,brute,10,1,1,distance,-6896.1227962591865,238,-0.16437342156457238,238
2,0.0025568008422851562,brute,10,1,2,uniform,-6969.442619906479,241,-0.1908377130437635,241
3,0.0026424884796142577,brute,10,1,2,distance,-6969.442619906479,241,-0.1908377130437635,241
4,0.001841115951538086,brute,10,1,3,uniform,-7124.155342685372,247,-0.23011470145461418,247
5,0.0008995532989501953,brute,10,1,3,distance,-7124.155342685372,247,-0.23011470145461418,247
6,0.0009173870086669922,brute,10,2,1,uniform,-5620.3255270541085,217,0.06695164311701458,217
7,0.0009066104888916015,brute,10,2,1,distance,-5628.181264219314,220,0.06640042588332405,220
8,0.0010886669158935546,brute,10,2,2,uniform,-5819.06576753507,223,0.020484515140764385,223
9,0.0013702392578125,brute,10,2,2,distance,-5826.80551996507,226,0.019782700091300388,228
10,0.0012688159942626954,brute,10,2,3,uniform,-5881.259339011356,229,0.007271805648785737,229
11,0.0007182121276855469,brute,10,2,3,distance,-5888.225341344941,232,0.006124907926345636,232
12,0.0008199214935302734,brute,10,3,1,uniform,-5184.241548133304,193,0.14847366723569558,187
13,0.001064634323120117,brute,10,3,1,distance,-5193.4821019666,198,0.14737744299722458,192
14,0.0008297920227050781,brute,10,3,2,uniform,-5457.682832628219,205,0.08382316076796932,208
15,0.0014756679534912109,brute,10,3,2,distance,-5460.786203581252,210,0.08460861184107851,207
16,0.0008492469787597656,brute,10,3,3,uniform,-5486.2744600311735,211,0.07876741469957536,211
17,0.0008751392364501953,brute,10,3,3,distance,-5492.28119372772,214,0.078747797348451,214
18,0.0008603096008300781,brute,10,4,1,uniform,-4899.343352788912,166,0.19836247703007695,163
19,0.0008313655853271484,brute,10,4,1,distance,-4910.989837584944,169,0.19714262151838025,166
20,0.0008526802062988281,brute,10,4,2,uniform,-5156.753459168336,187,0.13963471822792628,193
21,0.0011423587799072265,brute,10,4,2,distance,-5173.19251392265,190,0.13755303716129572,196
22,0.0009553432464599609,brute,10,4,3,uniform,-5238.606537825651,199,0.12235207733848202,199
23,0.0011147499084472657,brute,10,4,3,distance,-5254.191303483533,202,0.12070315697344537,202
24,0.0008309364318847656,brute,10,5,1,uniform,-4710.712372585171,139,0.2340865294281533,133
25,0.0009054183959960937,brute,10,5,1,distance,-4731.131367548019,148,0.23060670625368612,138
26,0.001365804672241211,brute,10,5,2,uniform,-4928.5363402004,175,0.18351655387671087,172
27,0.001062917709350586,brute,10,5,2,distance,-4960.003486426812,178,0.17808266887208782,180
28,0.0010823726654052735,brute,10,5,3,uniform,-5030.1732251169005,181,0.16240144441777032,181
29,0.0010352134704589844,brute,10,5,3,distance,-5062.534535664721,184,0.15695905089454937,184
30,0.0008364677429199219,brute,10,6,1,uniform,-4537.55990217472,109,0.2663657006387891,97
31,0.000813150405883789,brute,10,6,1,distance,-4567.321993364018,118,0.2610330014567385,103
32,0.0012992382049560546,brute,10,6,2,uniform,-4785.900720886218,154,0.21079621367427295,151
33,0.0010249614715576172,brute,10,6,2,distance,-4822.175604470022,160,0.20444531017778667,159
34,0.0008396625518798829,brute,10,6,3,uniform,-4880.985944630001,163,0.18859864159743478,169
35,0.0008052349090576172,brute,10,6,3,distance,-4919.264416511582,172,0.18223595913045582,175
36,0.0008386611938476562,brute,10,7,1,uniform,-4423.835254836203,79,0.28644575149155527,67
37,0.0008231163024902344,brute,10,7,1,distance,-4458.728745029242,94,0.28028712715655674,76
38,0.0012880802154541016,brute,10,7,2,uniform,-4680.059623301025,136,0.22966884230448717,139
39,0.001533651351928711,brute,10,7,2,distance,-4718.057608410435,145,0.22304447088099558,147
40,0.0008561134338378907,brute,10,7,3,uniform,-4765.682289804098,151,0.20948129905902424,154
41,0.0009582996368408203,brute,10,7,3,distance,-4803.270277484081,157,0.20319172487469464,160
42,0.0008738994598388672,brute,10,8,1,uniform,-4320.398901678356,49,0.30418723340946063,40
43,0.0008235931396484375,brute,10,8,1,distance,-4358.855952353051,64,0.2977489139605164,51
44,0.001184988021850586,brute,10,8,2,uniform,-4596.795419902304,124,0.24421714422820798,124
45,0.001731729507446289,brute,10,8,2,distance,-4635.786322544114,130,0.2376431582764776,129
46,0.0010533332824707031,brute,10,8,3,uniform,-4674.463850513526,133,0.226209313202219,142
47,0.0008573055267333985,brute,10,8,3,distance,-4714.219272786115,142,0.21965616116473669,148
48,0.0008634090423583985,brute,10,9,1,uniform,-4241.644953610926,34,0.3171229322129166,28
49,0.0009769916534423829,brute,10,9,1,distance,-4281.66850353215,39,0.3106684497279996,34
50,0.0009243011474609375,brute,10,9,2,uniform,-4514.289039659566,106,0.2590734169907125,109
51,0.0009588241577148437,brute,10,9,2,distance,-4557.944461237965,117,0.25207706093332716,117
52,0.0013651371002197266,brute,10,9,3,uniform,-4573.26378808646,121,0.24504851370221545,121
53,0.0012098312377929687,brute,10,9,3,distance,-4621.326125141871,127,0.237248045537727,130
54,0.0008732318878173828,brute,10,10,1,uniform,-4199.159611342686,25,0.32286392518878404,25
55,0.0008492946624755859,brute,10,10,1,distance,-4239.050592624987,31,0.31682612959463097,31
56,0.005082082748413086,brute,10,10,2,uniform,-4440.648721442885,85,0.27297433584004066,88
57,0.0032852649688720702,brute,10,10,2,distance,-4488.8262691410755,99,0.2652544350621894,102
58,0.0008509635925292968,brute,10,10,3,uniform,-4503.990856579826,103,0.25806884292325766,112
59,0.0009473323822021485,brute,10,10,3,distance,-4555.9548023665075,112,0.2496867717109895,118
60,0.0008350849151611328,brute,10,11,1,uniform,-4144.961493896885,19,0.33331332331416913,16
61,0.0009974956512451172,brute,10,11,1,distance,-4184.838883246226,22,0.3272220698233886,22
62,0.001217794418334961,brute,10,11,2,uniform,-4387.106354593485,70,0.2825741554461092,73
63,0.0012871265411376954,brute,10,11,2,distance,-4436.039756405004,84,0.27485836204661473,87
64,0.0011266231536865234,brute,10,11,3,uniform,-4447.463896189072,88,0.26824320772232635,94
65,0.0008219718933105469,brute,10,11,3,distance,-4501.207903244768,100,0.2596489673153624,106
66,0.000914621353149414,brute,10,12,1,uniform,-4104.3956724003565,10,0.3389731042348784,10
67,0.0008898258209228515,brute,10,12,1,distance,-4144.524499727696,16,0.3331413641099789,19
68,0.0011112213134765625,brute,10,12,2,uniform,-4326.366277879834,52,0.29302061329344636,55
69,0.0010443687438964843,brute,10,12,2,distance,-4377.308062865072,69,0.2851397966249764,72
70,0.0008300304412841797,brute,10,12,3,uniform,-4398.505399140875,73,0.2776508707531431,82
71,0.0007204532623291016,brute,10,12,3,distance,-4453.2119547436,91,0.2689309216233836,91
72,0.0007574558258056641,brute,10,13,1,uniform,-4079.7950146683897,4,0.3425928926656208,7
73,0.0010219097137451171,brute,10,13,1,distance,-4119.283028860001,13,0.3368991916764241,13
74,0.0009807586669921876,brute,10,13,2,uniform,-4283.699253101865,40,0.29989131415582004,46
75,0.0008441448211669922,brute,10,13,2,distance,-4333.772025234706,55,0.2922741827614674,60
76,0.0010202407836914062,brute,10,13,3,uniform,-4352.065754649338,58,0.28650022142027937,61
77,0.0008304595947265625,brute,10,13,3,distance,-4407.104769919699,76,0.27774833430308227,79
78,0.0008001327514648438,brute,10,14,1,uniform,-4041.7203983749814,1,0.34911593479411546,1
79,0.0008752346038818359,brute,10,14,1,distance,-4081.7514903688398,7,0.3433426546079278,6
80,0.000858926773071289,brute,10,14,2,uniform,-4236.432941829236,28,0.30814247461765415,37
81,0.0008404254913330078,brute,10,14,2,distance,-4287.966687327198,45,0.3002484255529675,45
82,0.0007297515869140625,brute,10,14,3,uniform,-4300.412287534253,46,0.2955230327045517,52
83,0.0008063316345214844,brute,10,14,3,distance,-4357.037279502626,61,0.28648138314071486,64
84,0.021724414825439454,ball_tree,10,1,1,uniform,-6896.122796259185,235,-0.16437342156457235,235
85,0.022275352478027345,ball_tree,10,1,1,distance,-6896.1227962591865,238,-0.16437342156457238,238
86,0.021380901336669922,ball_tree,10,1,2,uniform,-6969.442619906479,241,-0.1908377130437635,241
87,0.021464776992797852,ball_tree,10,1,2,distance,-6969.442619906479,241,-0.1908377130437635,241
88,0.0765035629272461,ball_tree,10,1,3,uniform,-7124.155342685372,247,-0.23011470145461418,247
89,0.07390079498291016,ball_tree,10,1,3,distance,-7124.155342685372,247,-0.23011470145461418,247
90,0.021947193145751952,ball_tree,10,2,1,uniform,-5620.3255270541085,217,0.06695164311701458,217
91,0.024970293045043945,ball_tree,10,2,1,distance,-5628.181264219314,220,0.06640042588332405,220
92,0.02140069007873535,ball_tree,10,2,2,uniform,-5819.06576753507,223,0.020484515140764385,223
93,0.022337865829467774,ball_tree,10,2,2,distance,-5826.80551996507,226,0.019782700091300405,226
94,0.07395544052124023,ball_tree,10,2,3,uniform,-5881.259339011356,229,0.007271805648785737,229
95,0.07476816177368165,ball_tree,10,2,3,distance,-5888.225341344941,232,0.006124907926345636,232
96,0.022899818420410157,ball_tree,10,3,1,uniform,-5184.241548133304,193,0.14847366723569558,187
97,0.021966552734375,ball_tree,10,3,1,distance,-5193.482101966599,196,0.14737744299722463,190
98,0.03104372024536133,ball_tree,10,3,2,uniform,-5457.682832628219,205,0.08382316076796932,208
99,0.023502111434936523,ball_tree,10,3,2,distance,-5460.786203581251,208,0.08460861184107868,205
100,0.07451777458190918,ball_tree,10,3,3,uniform,-5486.2744600311735,211,0.07876741469957536,211
101,0.07421197891235351,ball_tree,10,3,3,distance,-5492.28119372772,214,0.078747797348451,214
102,0.0215395450592041,ball_tree,10,4,1,uniform,-4899.343352788912,166,0.19836247703007695,163
103,0.02244534492492676,ball_tree,10,4,1,distance,-4910.989837584944,169,0.19714262151838025,166
104,0.023731565475463866,ball_tree,10,4,2,uniform,-5156.753459168336,187,0.13963471822792628,193
105,0.021654272079467775,ball_tree,10,4,2,distance,-5173.19251392265,190,0.13755303716129563,197
106,0.07559590339660645,ball_tree,10,4,3,uniform,-5238.606537825651,199,0.12235207733848202,199
107,0.07641615867614746,ball_tree,10,4,3,distance,-5254.191303483533,202,0.12070315697344537,202
108,0.022049617767333985,ball_tree,10,5,1,uniform,-4710.712372585171,139,0.2340865294281533,133
109,0.021892404556274413,ball_tree,10,5,1,distance,-4731.131367548019,148,0.23060670625368618,136
110,0.021547603607177734,ball_tree,10,5,2,uniform,-4928.5363402004,175,0.18351655387671087,172
111,0.02149200439453125,ball_tree,10,5,2,distance,-4960.003486426812,178,0.17808266887208796,178
112,0.07440190315246582,ball_tree,10,5,3,uniform,-5030.1732251169005,181,0.16240144441777032,181
113,0.07687864303588868,ball_tree,10,5,3,distance,-5062.534535664721,184,0.15695905089454937,184
114,0.021547746658325196,ball_tree,10,6,1,uniform,-4537.55990217472,109,0.2663657006387891,97
115,0.021552515029907227,ball_tree,10,6,1,distance,-4567.321993364018,118,0.2610330014567385,103
116,0.02127218246459961,ball_tree,10,6,2,uniform,-4785.900720886218,154,0.21079621367427295,151
117,0.021313905715942383,ball_tree,10,6,2,distance,-4822.175604470022,160,0.20444531017778672,157
118,0.07481284141540527,ball_tree,10,6,3,uniform,-4880.985944630001,163,0.18859864159743478,169
119,0.07486729621887207,ball_tree,10,6,3,distance,-4919.264416511582,172,0.18223595913045582,175
120,0.021406793594360353,ball_tree,10,7,1,uniform,-4423.835254836203,79,0.28644575149155527,67
121,0.021340465545654295,ball_tree,10,7,1,distance,-4458.728745029242,94,0.2802871271565567,77
122,0.021411991119384764,ball_tree,10,7,2,uniform,-4680.059623301025,136,0.22966884230448717,139
123,0.02171611785888672,ball_tree,10,7,2,distance,-4718.057608410435,145,0.22304447088099566,145
124,0.07406754493713379,ball_tree,10,7,3,uniform,-4765.682289804098,151,0.20948129905902424,154
