,mean_fit_time,algorithm,leaf_size,neighbors,param_p,weights,mean_test_nmse,rank_test_nmse,mean_test_r2,rank_test_r2
0,0.0007894515991210937,ball_tree,1,1,1,uniform,-15.0990206185567,10081,0.7487837521353489,10081
1,0.0007347583770751954,ball_tree,1,1,1,distance,-15.0990206185567,10081,0.7487837521353489,10081
2,0.0006838798522949219,ball_tree,1,1,2,uniform,-14.80520618556701,9937,0.75160367225539,9937
3,0.0007085323333740235,ball_tree,1,1,2,distance,-14.80520618556701,9937,0.75160367225539,9937
4,0.0012650012969970704,ball_tree,1,1,3,uniform,-15.161855670103094,10297,0.7421189131042228,10225
5,0.0011321067810058593,ball_tree,1,1,3,distance,-15.16185567010309,10225,0.7421189131042228,10225
6,0.0006082534790039062,ball_tree,1,2,1,uniform,-12.057938144329901,7201,0.803519541695686,7489
7,0.0006155490875244141,ball_tree,1,2,1,distance,-11.645327020183394,5329,0.8104526753047572,5497
8,0.000576639175415039,ball_tree,1,2,2,uniform,-12.317048969072166,7849,0.7969314726687297,8281
9,0.0005649566650390625,ball_tree,1,2,2,distance,-11.878921627557835,6625,0.8056947647258125,6841
10,0.0011573314666748046,ball_tree,1,2,3,uniform,-12.862036082474228,8713,0.7894460379561398,8785
11,0.0010975360870361327,ball_tree,1,2,3,distance,-12.394963456358012,8065,0.7984817739603521,8065
12,0.0005658149719238281,ball_tree,1,3,1,uniform,-11.24052691867125,4177,0.8129163000331212,5185
13,0.0005309104919433594,ball_tree,1,3,1,distance,-10.7047480863088,1729,0.8232187272115531,2905
14,0.0005533218383789063,ball_tree,1,3,2,uniform,-11.266128293241698,4249,0.8142908893721008,4897
15,0.000521087646484375,ball_tree,1,3,2,distance,-10.782757884271295,1945,0.8238555729505095,2449
16,0.0010700702667236328,ball_tree,1,3,3,uniform,-11.561483390607103,5041,0.8088363420163087,5905
17,0.001074981689453125,ball_tree,1,3,3,distance,-11.137836306466552,4033,0.817618471696389,4177
18,0.0005437850952148438,ball_tree,1,4,1,uniform,-10.33644974226804,1009,0.8280102819774253,1657
19,0.0005523204803466797,ball_tree,1,4,1,distance,-9.931373187939176,25,0.8357073344348206,433
20,0.0005716800689697266,ball_tree,1,4,2,uniform,-11.361987757731958,4465,0.815258383977304,4537
21,0.0005351066589355469,ball_tree,1,4,2,distance,-10.86069533263975,2377,0.8241813925189442,2161
22,0.0010785102844238282,ball_tree,1,4,3,uniform,-11.687793170103092,5545,0.8056461666724452,6913
23,0.0011186599731445312,ball_tree,1,4,3,distance,-11.032523656897101,3601,0.8182898397636778,4033
24,0.0005459308624267579,ball_tree,1,5,1,uniform,-10.850698969072166,2305,0.8207729248892026,3457
25,0.0005465507507324219,ball_tree,1,5,1,distance,-10.24975594306925,937,0.8312975514642378,1225
26,0.0005152702331542968,ball_tree,1,5,2,uniform,-10.84140618556701,2233,0.823520069320775,2809
27,0.0005805492401123047,ball_tree,1,5,2,distance,-10.422063534942149,1225,0.8315153899285382,1153
28,0.0010612964630126952,ball_tree,1,5,3,uniform,-11.904882474226804,6697,0.8054831479178358,7057
29,0.0011100292205810547,ball_tree,1,5,3,distance,-11.121130849200208,3817,0.8197511262298716,3673
30,0.0005461692810058594,ball_tree,1,6,1,uniform,-10.783991981672399,2017,0.8194051579220604,3817
31,0.0005338191986083984,ball_tree,1,6,1,distance,-10.186429696651087,577,0.8302592705560743,1297
32,0.0005208492279052734,ball_tree,1,6,2,uniform,-11.35156930126002,4393,0.8144731695144141,4825
33,0.0005261898040771484,ball_tree,1,6,2,distance,-10.757253540640791,1873,0.8253362871496888,1873
34,0.001091766357421875,ball_tree,1,6,3,uniform,-11.565071592210767,5113,0.809010675973182,5833
35,0.0010892391204833985,ball_tree,1,6,3,distance,-10.799745303506421,2089,0.8235239013621212,2737
36,0.0005400657653808593,ball_tree,1,7,1,uniform,-10.971726278140125,3241,0.8171566497919259,4321
37,0.000525665283203125,ball_tree,1,7,1,distance,-10.247643268308067,865,0.829845982298227,1369
38,0.0005432605743408203,ball_tree,1,7,2,uniform,-11.127646749421416,3889,0.8194483982715641,3745
39,0.0006442546844482421,ball_tree,1,7,2,distance,-10.581084119933394,1513,0.8293989668515201,1585
40,0.0010870933532714845,ball_tree,1,7,3,uniform,-12.384156322322744,7993,0.7950877769977807,8353
41,0.0010774612426757812,ball_tree,1,7,3,distance,-11.388814715411524,4609,0.8137815731228166,4969
42,0.0005355358123779296,ball_tree,1,8,1,uniform,-11.021528672680414,3529,0.818758989594206,3961
43,0.0005282402038574219,ball_tree,1,8,1,distance,-10.209374976435543,793,0.8324511082346975,937
44,0.0005236625671386719,ball_tree,1,8,2,uniform,-11.576452158505155,5257,0.8118213033228442,5257
45,0.0005187511444091797,ball_tree,1,8,2,distance,-10.88937858492835,2545,0.8242273394279753,2089
46,0.0010825634002685548,ball_tree,1,8,3,uniform,-12.914830863402065,8857,0.7861987721252319,9145
47,0.0010877609252929687,ball_tree,1,8,3,distance,-11.793278351867173,5905,0.8068333279338988,6553
48,0.0005349159240722656,ball_tree,1,9,1,uniform,-10.899619447626323,2593,0.8223071355567184,3169
49,0.000527048110961914,ball_tree,1,9,1,distance,-10.121194428885651,433,0.8353950210384673,505
50,0.0005198478698730469,ball_tree,1,9,2,uniform,-11.795846379025072,5977,0.8087778650179546,5977
51,0.0005274772644042969,ball_tree,1,9,2,distance,-10.992335361032662,3385,0.8227637556722945,3049
52,0.0010907649993896484,ball_tree,1,9,3,uniform,-13.086481481481483,9217,0.7842745813821095,9361
53,0.0010965347290039062,ball_tree,1,9,3,distance,-11.9906816155331,7129,0.8044057156769695,7201
54,0.0005453109741210937,ball_tree,1,10,1,uniform,-10.998003608247423,3457,0.8217585070866928,3313
55,0.0005239486694335937,ball_tree,1,10,1,distance,-10.206562532791489,721,0.8348286181045204,649
56,0.0005329608917236328,ball_tree,1,10,2,uniform,-11.78497319587629,5833,0.8093052056545192,5689
57,0.0005183219909667969,ball_tree,1,10,2,distance,-10.955739925923895,3025,0.8239090051879531,2377
58,0.0010777950286865235,ball_tree,1,10,3,uniform,-12.907953092783504,8785,0.7887020094308349,8857
59,0.0010812759399414062,ball_tree,1,10,3,distance,-11.850028002591115,6337,0.8077985439136204,6409
60,0.0005428791046142578,ball_tree,1,11,1,uniform,-10.961982193064665,3169,0.8223116165970189,3097
61,0.0005243778228759766,ball_tree,1,11,1,distance,-10.199620082611045,673,0.834964279825246,577
62,0.0006187915802001953,ball_tree,1,11,2,uniform,-11.946079066200905,7057,0.8058718237952467,6769
63,0.0005144119262695312,ball_tree,1,11,2,distance,-11.056826765704772,3673,0.8220341040038792,3241
64,0.0010629653930664062,ball_tree,1,11,3,uniform,-12.734873903041667,8425,0.7920751693118077,8497
65,0.0010860919952392577,ball_tree,1,11,3,distance,-11.694257076413686,5617,0.8107142918993968,5401
66,0.0005427837371826172,ball_tree,1,12,1,uniform,-10.744629152348228,1801,0.8265772495085247,1729
67,0.0005206108093261719,ball_tree,1,12,1,distance,-9.991803399291284,145,0.8390412328018636,169
68,0.0005248069763183593,ball_tree,1,12,2,uniform,-11.82358927548683,6265,0.8081104875557208,6265
69,0.000514078140258789,ball_tree,1,12,2,distance,-10.956922178521712,3097,0.8235929321286388,2593
70,0.0010764122009277344,ball_tree,1,12,3,uniform,-12.809114762313861,8497,0.7898805939299435,8713
71,0.001077556610107422,ball_tree,1,12,3,distance,-11.7450114414748,5689,0.8091576028492713,5761
72,0.0005374908447265625,ball_tree,1,13,1,uniform,-10.874983529555298,2449,0.8235299886624168,2665
73,0.0005183219909667969,ball_tree,1,13,1,distance,-10.087467377987227,385,0.8368972283347185,361
74,0.000514364242553711,ball_tree,1,13,2,uniform,-11.770863173305681,5761,0.8086614823454195,6049
75,0.0005253314971923828,ball_tree,1,13,2,distance,-10.914846746958947,2905,0.8240540382999778,2233
76,0.0010723590850830079,ball_tree,1,13,3,uniform,-13.004263405111942,9145,0.7854580073187457,9217
77,0.0010958194732666015,ball_tree,1,13,3,distance,-11.907609344945058,6769,0.8056196026174761,6985
78,0.0005535125732421875,ball_tree,1,14,1,uniform,-10.810851304439302,2161,0.8261663977817987,1801
79,0.0005305767059326172,ball_tree,1,14,1,distance,-9.978281646828275,73,0.8399475556425826,1
80,0.00051727294921875,ball_tree,1,14,2,uniform,-11.819429307805596,6193,0.8078701515238412,6337
81,0.0005242824554443359,ball_tree,1,14,2,distance,-10.918924964792973,2953,0.8240103427809672,2305
82,0.0010823249816894532,ball_tree,1,14,3,uniform,-12.926715495476541,8929,0.7870453646094083,9073
83,0.0010875701904296876,ball_tree,1,14,3,distance,-11.872108391818795,6553,0.8063094359610107,6697
84,0.0005420684814453125,ball_tree,1,15,1,uniform,-10.9043264604811,2737,0.8253180087390768,1945
85,0.0005272865295410156,ball_tree,1,15,1,distance,-10.055292384763247,289,0.8392270647994353,73
86,0.0005273818969726562,ball_tree,1,15,2,uniform,-12.06220916380298,7345,0.8037239350212557,7273
