,mean_fit_time,algorithm,leaf_size,neighbors,param_p,weights,mean_test_nmse,rank_test_nmse,mean_test_r2,rank_test_r2
19,"0,000539",ball_tree,1,4,1,distance,"-10,153904",1,"0,832604",433
163,"0,000513",ball_tree,2,4,1,distance,"-10,153904",1,"0,832604",433
307,"0,000518",ball_tree,3,4,1,distance,"-10,153904",1,"0,832604",433
451,"0,000519",ball_tree,4,4,1,distance,"-10,153904",1,"0,832604",433
595,"0,000498",ball_tree,5,4,1,distance,"-10,153904",1,"0,832604",433
739,"0,000491",ball_tree,6,4,1,distance,"-10,153904",1,"0,832604",433
883,"0,000488",ball_tree,7,4,1,distance,"-10,153904",1,"0,832604",433
1027,"0,000514",ball_tree,8,4,1,distance,"-10,153904",1,"0,832604",433
1171,"0,000497",ball_tree,9,4,1,distance,"-10,153904",1,"0,832604",433
1315,"0,000515",ball_tree,10,4,1,distance,"-10,153904",1,"0,832604",433
1459,"0,000531",ball_tree,11,4,1,distance,"-10,153904",1,"0,832604",433
1603,"0,000501",ball_tree,12,4,1,distance,"-10,153904",1,"0,832604",433
1747,"0,000495",ball_tree,13,4,1,distance,"-10,153904",1,"0,832604",433
1891,"0,000498",ball_tree,14,4,1,distance,"-10,153904",1,"0,832604",433
2035,"0,000497",ball_tree,15,4,1,distance,"-10,153904",1,"0,832604",433
2179,"0,000482",ball_tree,16,4,1,distance,"-10,153904",1,"0,832604",433
2323,"0,000521",ball_tree,17,4,1,distance,"-10,153904",1,"0,832604",433
2467,"0,00049",ball_tree,18,4,1,distance,"-10,153904",1,"0,832604",433
2611,"0,000486",ball_tree,19,4,1,distance,"-10,153904",1,"0,832604",433
2755,"0,000495",ball_tree,20,4,1,distance,"-10,153904",1,"0,832604",433
2899,"0,000482",ball_tree,21,4,1,distance,"-10,153904",1,"0,832604",433
3043,"0,000487",ball_tree,22,4,1,distance,"-10,153904",1,"0,832604",433
3187,"0,000477",ball_tree,23,4,1,distance,"-10,153904",1,"0,832604",433
3331,"0,000505",ball_tree,24,4,1,distance,"-10,153904",1,"0,832604",433
3475,"0,00056",kd_tree,1,4,1,distance,"-10,153904",1,"0,832604",433
3619,"0,000546",kd_tree,2,4,1,distance,"-10,153904",1,"0,832604",433
3763,"0,000521",kd_tree,3,4,1,distance,"-10,153904",1,"0,832604",433
3907,"0,000624",kd_tree,4,4,1,distance,"-10,153904",1,"0,832604",433
4051,"0,000521",kd_tree,5,4,1,distance,"-10,153904",1,"0,832604",433
4195,"0,000569",kd_tree,6,4,1,distance,"-10,153904",1,"0,832604",433
4339,"0,000521",kd_tree,7,4,1,distance,"-10,153904",1,"0,832604",433
4483,"0,000507",kd_tree,8,4,1,distance,"-10,153904",1,"0,832604",433
4627,"0,000525",kd_tree,9,4,1,distance,"-10,153904",1,"0,832604",433
4771,"0,000487",kd_tree,10,4,1,distance,"-10,153904",1,"0,832604",433
4915,"0,000507",kd_tree,11,4,1,distance,"-10,153904",1,"0,832604",433
5059,"0,000493",kd_tree,12,4,1,distance,"-10,153904",1,"0,832604",433
5203,"0,000493",kd_tree,13,4,1,distance,"-10,153904",1,"0,832604",433
5347,"0,0005",kd_tree,14,4,1,distance,"-10,153904",1,"0,832604",433
5491,"0,000488",kd_tree,15,4,1,distance,"-10,153904",1,"0,832604",433
5635,"0,0005",kd_tree,16,4,1,distance,"-10,153904",1,"0,832604",433
5779,"0,000491",kd_tree,17,4,1,distance,"-10,153904",1,"0,832604",433
5923,"0,000498",kd_tree,18,4,1,distance,"-10,153904",1,"0,832604",433
6067,"0,000489",kd_tree,19,4,1,distance,"-10,153904",1,"0,832604",433
6211,"0,000491",kd_tree,20,4,1,distance,"-10,153904",1,"0,832604",433
6355,"0,000479",kd_tree,21,4,1,distance,"-10,153904",1,"0,832604",433
6499,"0,000484",kd_tree,22,4,1,distance,"-10,153904",1,"0,832604",433
6643,"0,000478",kd_tree,23,4,1,distance,"-10,153904",1,"0,832604",433
6787,"0,000485",kd_tree,24,4,1,distance,"-10,153904",1,"0,832604",433
6931,"0,000392",brute,1,4,1,distance,"-10,153904",1,"0,832604",433
7075,"0,000383",brute,2,4,1,distance,"-10,153904",1,"0,832604",433
7219,"0,000424",brute,3,4,1,distance,"-10,153904",1,"0,832604",433
7363,"0,000403",brute,4,4,1,distance,"-10,153904",1,"0,832604",433
7507,"0,000415",brute,5,4,1,distance,"-10,153904",1,"0,832604",433
7651,"0,000406",brute,6,4,1,distance,"-10,153904",1,"0,832604",433
7795,"0,000409",brute,7,4,1,distance,"-10,153904",1,"0,832604",433
7939,"0,000398",brute,8,4,1,distance,"-10,153904",1,"0,832604",433
8083,"0,000399",brute,9,4,1,distance,"-10,153904",1,"0,832604",433
8227,"0,000393",brute,10,4,1,distance,"-10,153904",1,"0,832604",433
8371,"0,00043",brute,11,4,1,distance,"-10,153904",1,"0,832604",433
8515,"0,00041",brute,12,4,1,distance,"-10,153904",1,"0,832604",433
8659,"0,000404",brute,13,4,1,distance,"-10,153904",1,"0,832604",433
8803,"0,000425",brute,14,4,1,distance,"-10,153904",1,"0,832604",433
8947,"0,000376",brute,15,4,1,distance,"-10,153904",1,"0,832604",433
9091,"0,000404",brute,16,4,1,distance,"-10,153904",1,"0,832604",433
9235,"0,000406",brute,17,4,1,distance,"-10,153904",1,"0,832604",433
9379,"0,000397",brute,18,4,1,distance,"-10,153904",1,"0,832604",433
9523,"0,000392",brute,19,4,1,distance,"-10,153904",1,"0,832604",433
9667,"0,000394",brute,20,4,1,distance,"-10,153904",1,"0,832604",433
9811,"0,000425",brute,21,4,1,distance,"-10,153904",1,"0,832604",433
9955,"0,000388",brute,22,4,1,distance,"-10,153904",1,"0,832604",433
10099,"0,001488",brute,23,4,1,distance,"-10,153904",1,"0,832604",433
10243,"0,000424",brute,24,4,1,distance,"-10,153904",1,"0,832604",433
85,"0,00053",ball_tree,1,15,1,distance,"-10,206602",73,"0,836066",1
229,"0,00052",ball_tree,2,15,1,distance,"-10,206602",73,"0,836066",1
373,"0,000513",ball_tree,3,15,1,distance,"-10,206602",73,"0,836066",1
517,"0,000504",ball_tree,4,15,1,distance,"-10,206602",73,"0,836066",1
661,"0,000512",ball_tree,5,15,1,distance,"-10,206602",73,"0,836066",1
805,"0,000523",ball_tree,6,15,1,distance,"-10,206602",73,"0,836066",1
949,"0,000522",ball_tree,7,15,1,distance,"-10,206602",73,"0,836066",1
1093,"0,000521",ball_tree,8,15,1,distance,"-10,206602",73,"0,836066",1
1237,"0,000507",ball_tree,9,15,1,distance,"-10,206602",73,"0,836066",1
1381,"0,000507",ball_tree,10,15,1,distance,"-10,206602",73,"0,836066",1
1525,"0,000529",ball_tree,11,15,1,distance,"-10,206602",73,"0,836066",1
1669,"0,000506",ball_tree,12,15,1,distance,"-10,206602",73,"0,836066",1
1813,"0,000501",ball_tree,13,15,1,distance,"-10,206602",73,"0,836066",1
1957,"0,000497",ball_tree,14,15,1,distance,"-10,206602",73,"0,836066",1
2101,"0,000527",ball_tree,15,15,1,distance,"-10,206602",73,"0,836066",1
2245,"0,000506",ball_tree,16,15,1,distance,"-10,206602",73,"0,836066",1
2389,"0,000793",ball_tree,17,15,1,distance,"-10,206602",73,"0,836066",1
2533,"0,000519",ball_tree,18,15,1,distance,"-10,206602",73,"0,836066",1
2677,"0,000524",ball_tree,19,15,1,distance,"-10,206602",73,"0,836066",1
2821,"0,000534",ball_tree,20,15,1,distance,"-10,206602",73,"0,836066",1
2965,"0,000521",ball_tree,21,15,1,distance,"-10,206602",73,"0,836066",1
3109,"0,000492",ball_tree,22,15,1,distance,"-10,206602",73,"0,836066",1
3253,"0,000509",ball_tree,23,15,1,distance,"-10,206602",73,"0,836066",1
3397,"0,0005",ball_tree,24,15,1,distance,"-10,206602",73,"0,836066",1
3541,"0,000549",kd_tree,1,15,1,distance,"-10,206602",73,"0,836066",1
3685,"0,000545",kd_tree,2,15,1,distance,"-10,206602",73,"0,836066",1
3829,"0,000537",kd_tree,3,15,1,distance,"-10,206602",73,"0,836066",1
3973,"0,000552",kd_tree,4,15,1,distance,"-10,206602",73,"0,836066",1
4117,"0,001811",kd_tree,5,15,1,distance,"-10,206602",73,"0,836066",1
4261,"0,00052",kd_tree,6,15,1,distance,"-10,206602",73,"0,836066",1
4405,"0,000511",kd_tree,7,15,1,distance,"-10,206602",73,"0,836066",1
4549,"0,000506",kd_tree,8,15,1,distance,"-10,206602",73,"0,836066",1
4693,"0,000504",kd_tree,9,15,1,distance,"-10,206602",73,"0,836066",1
4837,"0,000516",kd_tree,10,15,1,distance,"-10,206602",73,"0,836066",1
4981,"0,000515",kd_tree,11,15,1,distance,"-10,206602",73,"0,836066",1
5125,"0,000496",kd_tree,12,15,1,distance,"-10,206602",73,"0,836066",1
5269,"0,000505",kd_tree,13,15,1,distance,"-10,206602",73,"0,836066",1
5413,"0,000489",kd_tree,14,15,1,distance,"-10,206602",73,"0,836066",1
5557,"0,000514",kd_tree,15,15,1,distance,"-10,206602",73,"0,836066",1
5701,"0,000485",kd_tree,16,15,1,distance,"-10,206602",73,"0,836066",1
5845,"0,0005",kd_tree,17,15,1,distance,"-10,206602",73,"0,836066",1
5989,"0,000488",kd_tree,18,15,1,distance,"-10,206602",73,"0,836066",1
6133,"0,000503",kd_tree,19,15,1,distance,"-10,206602",73,"0,836066",1
6277,"0,000495",kd_tree,20,15,1,distance,"-10,206602",73,"0,836066",1
6421,"0,00049",kd_tree,21,15,1,distance,"-10,206602",73,"0,836066",1
6565,"0,000479",kd_tree,22,15,1,distance,"-10,206602",73,"0,836066",1
6709,"0,000482",kd_tree,23,15,1,distance,"-10,206602",73,"0,836066",1
6853,"0,000492",kd_tree,24,15,1,distance,"-10,206602",73,"0,836066",1
6997,"0,000421",brute,1,15,1,distance,"-10,206602",121,"0,836066",1
7141,"0,000403",brute,2,15,1,distance,"-10,206602",121,"0,836066",1
7285,"0,001916",brute,3,15,1,distance,"-10,206602",121,"0,836066",1
7429,"0,000452",brute,4,15,1,distance,"-10,206602",121,"0,836066",1
7573,"0,000404",brute,5,15,1,distance,"-10,206602",121,"0,836066",1
7717,"0,000392",brute,6,15,1,distance,"-10,206602",121,"0,836066",1
7861,"0,000411",brute,7,15,1,distance,"-10,206602",121,"0,836066",1
8005,"0,000396",brute,8,15,1,distance,"-10,206602",121,"0,836066",1
